from_currency_code,from_currency_name,to_currency_code,to_currency_name,exchange_rate,last_refreshed,time_zone
CHF,Swiss Franc,USD,United States Dollar,1.0360547,2018-09-07 01:15:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2925241,2018-09-07 01:16:02,UTC
EUR,Euro,USD,United States Dollar,1.16225,2018-09-07 01:16:32,UTC
EUR,Euro,USD,United States Dollar,1.1621151,2018-09-07 01:30:03,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2922902,2018-09-07 01:30:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904184,2018-09-07 01:31:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0359902,2018-09-07 01:31:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2929418,2018-09-07 01:45:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904298,2018-09-07 01:45:32,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-07 01:46:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0361942,2018-09-07 01:46:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.036044,2018-09-07 02:00:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2927246,2018-09-07 02:00:33,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-07 02:01:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904151,2018-09-07 02:01:33,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-07 02:15:01,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2927413,2018-09-07 02:15:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0361084,2018-09-07 02:16:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904732,2018-09-07 02:16:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2929083,2018-09-07 02:30:02,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-07 02:30:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0360547,2018-09-07 02:31:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904102,2018-09-07 02:31:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2927413,2018-09-07 02:45:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904429,2018-09-07 02:45:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0359259,2018-09-07 02:46:02,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-07 02:46:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2924405,2018-09-07 03:00:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0358186,2018-09-07 03:00:33,UTC
EUR,Euro,USD,United States Dollar,1.16225,2018-09-07 03:01:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904298,2018-09-07 03:01:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904552,2018-09-07 03:15:02,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-07 03:15:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2928582,2018-09-07 03:16:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0359151,2018-09-07 03:16:33,UTC
EUR,Euro,USD,United States Dollar,1.16225,2018-09-07 03:30:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2924072,2018-09-07 03:30:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0359044,2018-09-07 03:31:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904593,2018-09-07 03:31:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0356684,2018-09-07 03:45:02,UTC
EUR,Euro,USD,United States Dollar,1.16225,2018-09-07 03:45:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2923403,2018-09-07 03:46:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904494,2018-09-07 03:46:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2925407,2018-09-07 04:00:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.035722,2018-09-07 04:00:33,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-07 04:01:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00904192,2018-09-07 04:01:33,UTC
EUR,Euro,USD,United States Dollar,1.162926,2018-09-07 04:15:01,UTC
JPY,Japanese Yen,USD,United States Dollar,0.0090429,2018-09-07 04:15:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0359902,2018-09-07 04:16:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2929418,2018-09-07 04:16:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2932428,2018-09-07 04:30:02,UTC
